sex,voted_2000,voted_2004,treatment
male,no,Yes,Neighbors
female,no,Yes,CivicDuty
female,no,No,Control
male,yes,No,Self
male,no,No,Control
female,no,No,Hawthorne
female,no,Yes,Self
male,no,No,Control
male,no,Yes,Self
female,no,Yes,Neighbors
male,no,No,Neighbors
female,no,No,Hawthorne
male,yes,No,Control
female,no,Yes,Control
male,no,No,CivicDuty
male,no,No,Control
female,yes,No,Control
male,no,No,Neighbors
female,yes,No,Control
male,no,No,Neighbors
female,yes,No,Control
female,no,No,Self
male,yes,Yes,Hawthorne
female,no,No,CivicDuty
female,no,No,Self
male,yes,No,Control
male,no,No,Hawthorne
female,no,Yes,Control
male,no,No,Neighbors
male,no,Yes,CivicDuty
female,yes,No,Control
male,yes,Yes,Control
male,no,No,Hawthorne
male,no,Yes,Control
female,no,Yes,Control
female,no,Yes,Control
male,no,No,CivicDuty
female,no,No,Control
male,no,No,CivicDuty
male,no,No,Neighbors
male,yes,No,Control
female,no,No,CivicDuty
male,no,No,Control
male,yes,No,Self
female,no,Yes,Control
female,no,No,Control
male,no,No,Control
female,no,No,Control
female,yes,No,Self
female,no,No,CivicDuty
male,no,No,Self
female,no,No,Self
female,no,No,Control
female,no,No,CivicDuty
female,no,No,Hawthorne
male,no,No,CivicDuty
female,no,Yes,Control
female,no,Yes,Self
female,no,Yes,Neighbors
female,yes,Yes,Control
male,yes,Yes,Self
female,yes,No,Hawthorne
male,no,No,Self
male,yes,No,Hawthorne
female,yes,No,Control
female,no,Yes,Self
male,yes,Yes,Control
female,no,No,Self
male,no,Yes,Self
female,no,No,Control
female,yes,No,Control
male,no,No,Hawthorne
male,yes,No,Control
female,yes,Yes,Control
male,no,Yes,Control
female,no,No,Control
male,no,No,Self
female,no,Yes,Control
female,no,Yes,Hawthorne
male,no,No,Self
female,yes,No,Self
female,no,Yes,Control
female,no,Yes,Control
male,no,Yes,Control
female,no,No,Neighbors
Female,no,No,Neighbors
female,no,Yes,Control
female,no,Yes,Control
female,no,Yes,Self
male,yes,No,Hawthorne
male,no,No,Control
male,no,Yes,Control
female,no,No,Control
female,no,No,Control
female,no,No,Self
male,no,No,Control
female,no,Yes,CivicDuty
male,yes,No,CivicDuty
male,no,No,Self
male,yes,Yes,Control
male,no,Yes,Control
female,no,No,Control
male,no,No,Control
female,yes,Yes,Self
female,no,No,Neighbors
